date,tavg,tmin,tmax,prcp,wspd,pres,tsun,city
2020-01-01 00:00:00,24.9,19.2,29.9,0.0,,1013.4,13800.0,Mumbai
2020-02-01 00:00:00,27.3,21.0,32.6,0.0,,1012.7,11220.0,Mumbai
2020-03-01 00:00:00,27.7,22.6,31.9,0.0,,1011.2,12900.0,Mumbai
2020-04-01 00:00:00,30.2,26.4,33.9,0.0,,1009.6,14220.0,Mumbai
2020-05-01 00:00:00,31.1,28.6,34.0,0.0,,1007.3,15960.0,Mumbai
2020-06-01 00:00:00,29.2,26.0,32.3,525.0,,1003.7,8340.0,Mumbai
2020-07-01 00:00:00,28.1,25.4,30.5,1501.9,,1003.2,4620.0,Mumbai
2020-08-01 00:00:00,27.6,25.0,29.6,826.5,,1003.3,2760.0,Mumbai
2020-09-01 00:00:00,28.4,25.3,31.4,320.0,,1005.6,7080.0,Mumbai
2020-10-01 00:00:00,29.2,25.6,32.7,224.0,,1007.3,7920.0,Mumbai
2020-11-01 00:00:00,28.7,23.1,33.9,0.0,,1011.8,12720.0,Mumbai
2020-12-01 00:00:00,26.6,20.8,32.3,25.0,,1012.0,11400.0,Mumbai
2021-01-01 00:00:00,25.9,20.5,30.9,1.0,,1011.1,11100.0,Mumbai
2021-02-01 00:00:00,27.3,21.4,32.9,0.0,,1012.1,11280.0,Mumbai
2021-03-01 00:00:00,29.7,23.9,35.0,0.0,,1010.0,13200.0,Mumbai
2021-04-01 00:00:00,30.0,26.2,33.6,0.0,,1009.1,13620.0,Mumbai
2021-05-01 00:00:00,30.7,27.8,33.8,154.4,,1005.5,12000.0,Mumbai
2021-06-01 00:00:00,28.6,25.5,31.5,317.0,,1005.3,6360.0,Mumbai
2021-07-01 00:00:00,28.6,25.7,30.8,773.9,,1003.8,4800.0,Mumbai
2021-08-01 00:00:00,27.8,25.1,30.0,295.1,,1006.3,5520.0,Mumbai
2021-09-01 00:00:00,27.7,24.8,30.1,436.9,,1005.1,5820.0,Mumbai
2021-10-01 00:00:00,29.4,25.2,33.5,31.8,,1008.6,13620.0,Mumbai
2021-11-01 00:00:00,29.5,25.0,34.1,50.1,,1009.2,12720.0,Mumbai
2021-12-01 00:00:00,25.8,21.0,30.6,103.3,,1013.3,10080.0,Mumbai
2022-01-01 00:00:00,24.5,19.3,29.3,9.6,,1012.9,11940.0,Mumbai
2022-02-01 00:00:00,25.3,19.3,30.5,0.0,,1011.3,14220.0,Mumbai
2022-03-01 00:00:00,30.0,24.7,34.9,0.1,,1008.9,9240.0,Mumbai
2022-04-01 00:00:00,30.6,26.8,34.5,0.0,,1008.0,12120.0,Mumbai
2022-05-01 00:00:00,30.9,28.8,34.0,7.0,,1005.7,13080.0,Mumbai
2022-06-01 00:00:00,29.3,26.6,32.9,298.3,,1004.4,7860.0,Mumbai
2022-07-01 00:00:00,27.8,25.3,29.8,1185.2,,1004.0,3060.0,Mumbai
2022-08-01 00:00:00,27.7,25.1,30.3,550.9,,1004.2,5160.0,Mumbai
2022-09-01 00:00:00,27.5,24.7,30.2,528.4,,1006.6,5700.0,Mumbai
2022-10-01 00:00:00,28.4,24.5,32.4,165.5,,1009.8,11700.0,Mumbai
2022-11-01 00:00:00,27.9,21.9,33.6,0.0,,1011.7,12180.0,Mumbai
2022-12-01 00:00:00,27.3,21.8,32.5,6.2,,1011.4,10680.0,Mumbai
2023-01-01 00:00:00,24.4,18.7,29.5,0.0,,1013.4,11520.0,Mumbai
2023-02-01 00:00:00,28.1,20.6,34.2,0.0,,1012.4,13980.0,Mumbai
2023-03-01 00:00:00,28.9,23.6,33.5,21.0,,1011.2,12120.0,Mumbai
2023-04-01 00:00:00,30.0,25.8,33.8,15.3,,1009.0,14220.0,Mumbai
2023-05-01 00:00:00,30.8,28.3,33.6,0.6,,1008.8,17220.0,Mumbai
2023-06-01 00:00:00,30.4,27.8,33.7,561.1,,1005.7,11460.0,Mumbai
2023-07-01 00:00:00,27.8,25.3,29.4,1768.9,,1004.7,1680.0,Mumbai
2023-08-01 00:00:00,28.6,26.3,30.8,187.3,,1007.9,7140.0,Mumbai
2023-09-01 00:00:00,28.2,25.2,31.0,483.8,,1006.6,6660.0,Mumbai
2023-10-01 00:00:00,30.2,25.8,34.5,13.0,,1011.0,10200.0,Mumbai
2023-11-01 00:00:00,29.4,24.3,34.4,7.1,,1011.7,11040.0,Mumbai
2023-12-01 00:00:00,27.9,22.8,32.9,0.0,,1012.3,10140.0,Mumbai
2024-01-01 00:00:00,26.3,19.9,31.3,1.1,,1013.2,12240.0,Mumbai
2024-02-01 00:00:00,27.1,20.6,32.6,0.0,,1013.5,14700.0,Mumbai
